table	column	description
ext_		This prefix designates a table that's a roughly 1:1 copy of an external dataset
sequencing_batch_status	finalized_status	Indicates whether a batch is stable and ready for release (true) or in-progress and should not be released (false).
automation_state		This table is used by the automated pipeline to store states (of its sub-programs).
automation_state	program_name	The name of the a program that is part of the pipeline.
automation_state	state	The state of the program as text. The format
bag_meldeformular		"Meldeformular data provided by the BAG. See the BAG codebook, which is sometimes updated. Contact: TS or SN or CC."
bag_meldeformular	iso_country_exp	"Exposure country coded with ISO 3166-1 alpha-3, three-letter country code standardized to only those in 'country' table."
bag_dashboard_meldeformular		"Meldeformular data provided by the BAG, it is updated daily. This table is tailored for the timeseries dashboard. Column definitions can be found in the Codebook COVID-19 for SSPH+."
bag_test_numbers		"Data provided by the BAG, it is updated daily."
bag_test_numbers	date	The date on which the tests were taken.
bag_test_numbers	positive_tests	The number of positive tests
bag_test_numbers	negative_tests	The number of negative tests
bag_test_numbers	canton	Canton code. It is only provided since 23.05.2020
bag_test_numbers	age_group	"The age group, for example, ""0 - 9"". It is only provided since 23.05.2020."
consensus_sequence	sample_name	Name given to the sequenced material (assigned by the sequencing center).
consensus_sequence	ethid	ETH identifier for a sample.
consensus_sequence	header	Fasta header in the data source (covid19-pangolin/backup/working/samples/<sample_name>/<date_flowcell>/references/ref_ambig.fasta). Format should be <sample_name>-<date>_<flowcell>
consensus_sequence	seq	"Consensus sequence. Positions with < 5x coverage are ""N"". Minor bases with >= 5% frequency and present in >= 2 reads contribute to an IAUPC ambiguity code at a position. Lowercase letters indicate < 50x coverge. Sequences may include gaps, which are coded with ""-"". "
consensus_sequence	coverage	Mean coverage. From V-pipe output qa.csv.
consensus_sequence	r1_basequal	"FastQC per base quality flag for read 1. Based on quality scores. WARNING if the lower quartile for any base is less than 10, or if the median for any base is less than 25. FAIL if the lower quartile for any base is less than 5 or if the median for any base is less than 20. From V-pipe output qa.csv."
consensus_sequence	r2_basequal	"FastQC per base quality flag for read 2. Based on quality scores. WARNING if the lower quartile for any base is less than 10, or if the median for any base is less than 25. FAIL if the lower quartile for any base is less than 5 or if the median for any base is less than 20. From V-pipe output qa.csv."
consensus_sequence	rejreads	Percentage of reads rejected by Prinseq. From V-pipe output qa.csv.
consensus_sequence	alnreads	Percentage of kept reads that were aligned. From V-pipe output qa.csv.
consensus_sequence	insertsize	Number of bases covered by a read pair amplicon length. From V-pipe output qa.csv.
consensus_sequence	consensus_n	Number of bases with less than 5 reads coverage. From V-pipe output qa.csv.
consensus_sequence	consensus_lcbases	Number of bases with less than 50 reads coverage. From V-pipe output qa.csv.
consensus_sequence	divergence	"Number of sites where seq != reference genome MN908947 and seq != N and seq != ""-"". From Nextstrain diagnostic.py output."
consensus_sequence	excess_divergence	divergence - expectd_divergence where expected_divergence = (days between Dec 1 2019 and sample collection date) * 25/365. From Nextstrain diagnostic.py output.
consensus_sequence	number_n	"Number of bases coded ""N"". From Nextstrain diagnostic.py output."
consensus_sequence	number_gaps	Number of gaps compared to reference genome MN908947. From Nextstrain diagnostic.py output.
consensus_sequence	clusters	Regions with SNPs clustered in close genomic proximity. From Nextstrain diagnostic.py output.
consensus_sequence	gaps	"Gaps compared to reference genome MN908947. From Nextstrain diagnostic.py output. These ranges are 0-indexed and start-exclusive, end-inclusive."
consensus_sequence	all_snps	Genome positions of SNPs compared to reference genome MN908947. From Nextstrain diagnostic.py output.
consensus_sequence	flagging_reason	Sequence quality issue flagged by Nextstrain diagnostic.py.
consensus_sequence	fail_reason	"Reason the sample fails quality control. ""no fail reason"" passes QC. Null values should correspond to rows that are not true samples. This column is generated by a script written by cEvo and the values should be treated with a grain of salt because the QC criteria we use to submit to GISAID has changed several times."
consensus_sequence	sequencing_center	"Where the sample was sequenced. fgcz = Functional Genomics Center Zurich, gfb = Genomics Facility Basel, h2030 = Health 2030."
consensus_sequence	sequencing_batch	<Date of the sequencing run in YYYYMMDD format>_<flowcell name>.
consensus_sequence	comment	Any notes about why the sample is special or additional information.
consensus_sequence	variant_of_concern	"The name of a variant of concern, or just <null>."
consensus_sequence	is_random	Whether the sample was randomly selected or part of a targeted investigation.
consensus_sequence	seq_unaligned	"Unaligned sequence as a character string. Column introduced June 2021 to handle sequences with insertions, currently column is only use on a case-by-case basis (e.g. for comparing pacbio results to illumina)"
consensus_sequence	dont_release	Boolean specifying whether (TRUE) a sequence should be excluded from release.
consensus_sequence_mutation_nucleotide	sample_name	The sample name as in consensus_sequence.
consensus_sequence_mutation_nucleotide	position	The position in the sequence as aligned as usual.
consensus_sequence_mutation_nucleotide	mutation	The mutated base codon in the sequence. It has to be upper-case!
consensus_sequence_nextclade_mutation_aa		The amino acid mutations that Nextclade detected.
consensus_sequence_nextclade_mutation_aa	sample_name	The sample name as in consensus_sequence.
consensus_sequence_nextclade_mutation_aa	aa_mutation	"The mutation in the Nextclade format. Examples: ""S:N123Y"", ""ORF8:Y45-"""
consensus_sequence_nextclade_data		Results from Nextclade without the mutations
country		A list of countries
country_old		A incomplete (!) list of countries used by the timeseries dashboard
dashboard_state		Stores general state information of the timeseries dashboard. It should contain exactly one row.
dashboard_state	last_data_update	The date on which the bag_dashboard_meldeformular table was last updated.
gisaid_sequence		The GISAID nextfasta and nextmeta dataset.
gisaid_sequence	date	"The parsed date. If the dataset only provides a year or a month, it is undefined which exact day will be set."
gisaid_sequence	date_str	"The date in the same format as it was provided in the dataset. E.g., in some cases, only the year is provided."
